artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Tom Odell,Long Way Down (Deluxe),Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4,Sad,"{'title': 'Tom Odell – Another Love Lyrics', 'lyrics': ""[Verse 1]\nI wanna take you somewhere so you know I care\nBut it's so cold and I don't know where\nI brought you daffodils in a pretty string\nBut they won't flower like they did last spring\nAnd I wanna kiss you, make you feel alright\nI'm just so tired to share my nights\nI wanna cry and I wanna love\nBut all my tears have been used up\n\n[Chorus]\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up, up\n\n[Verse 2]\nAnd if somebody hurts you, I wanna fight\nBut my hands been broken one too many times\nSo I'll use my voice, I'll be so fucking rude\nWords, they always win, but I know I'll lose\nAnd I'd sing a song that'd be just ours\nBut I sang 'em all to another heart\nAnd I wanna cry, I wanna learn to love\nBut all my tears have been used up\n\n[Chorus]\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up, up\n\n[Bridge]\n(Oh, need a love, now, my heart is thinking of)\nI wanna sing a song that'd be just ours\nBut I sang 'em all to another heart\nAnd I wanna cry, I wanna fall in love\nBut all my tears have been used up\n\n[Chorus]\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up, up""}"
Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,Sad,"{'title': 'Adele – Easy On Me Lyrics', 'lyrics': ""[Verse 1]\nThere ain't no gold in this river\nThat I've been washin' my hands in forever\nI know there is hope in these waters\nBut I can't bring myself to swim\nWhen I am drowning in this silence\nBaby, let me in\n\n[Chorus]\nGo easy on me, baby\nI was still a child\nDidn't get the chance to\nFeel the world around me\nI had no time to choose what I chose to do\nSo go easy on me\n\n[Verse 2]\nThere ain't no room for things to change\nWhen we are both so deeply stuck in our ways\nYou can't deny how hard I have tried\nI changed who I was to put you both first\nBut now I give up\n\n[Chorus]\nGo easy on mе, baby\nI was still a child\nDidn't get the chance to\nFeel thе world around me\nHad no time to choose what I chose to do\nSo go easy on me\n[Bridge]\nI had good intentions\nAnd the highest hopes\nBut I know right now\nIt probably doesn't even show\n\n[Chorus]\nGo easy on me, baby\nI was still a child\nI didn't get the chance to\nFeel the world around me\nI had no time to choose what I chose to do\nSo go easy on me""}"
Griff,Black Hole (Acoustic Version),Black Hole - Acoustic Version,1cpVLszZnKUHUjsJDTEi3D,0.824,0.3,1,-6.678,0.0565,0.854,0.0,0.174,0.227,112.867,175980,4,Sad,"{'title': 'Griff – Black Hole Lyrics', 'lyrics': ""[Verse 1]\nNow and then\nYour name comes up in conversation with my friends\nI hate how much I feel it right there in my chest\nI hate how much I feel it, yeah\nLike, how are you?\nIt seems like things are going really well for you\nI wish that I could say the same about me too\nI wish that I could say the same\n\n[Pre-Chorus]\nAnd boy, you know I've tried to pray\nI've bruised my knees\nI've tried to bring you back to me\nI've tried my best to find some kind of peace\nDon't you see?\n\n[Chorus]\nThere's a big black hole where my heart used to be\nAnd I tried my best to fill it up with things I don't need\nIt don't work like that, no, it's not easy\nTo fill this gap that you left in me\nThere's a big black hole where my heart used to be\nAnd I wish that you would realise I'm all that you need\nIt don't work like that, no, it's not easy\nTo fill this gap that you left in me\n[Verse 2]\nWithout a trace\nYou disappeared and took some of me with you, babe\nLike the way I used to laugh until my belly ache\nWell, that's all gone away now, yeah\n\n[Pre-Chorus]\nAnd boy, you know I've tried to pray\nI've bruised my knees\nI've tried to bring you back to me\nI've tried my best to find some kind of peace\nDon't you see?\n\n[Chorus]\nThere's a big black hole where my heart used to be\nAnd I tried my best to fill it up with things I don't need\nIt don't work like that, no, it's not easy\nTo fill this gap that you left in me\nThere's a big black hole where my heart used to be\nAnd I wish that you would realise I'm all that you need\nIt don't work like that, no, it's not easy\nTo fill this gap that you left in me (That you left in me)\n\n[Bridge]\nOh, oh, oh, oh (There's such a big black hole)\nOh, oh, oh, oh\nOh, oh, oh, oh (That you left in me)\nOh, oh, oh, oh\n[Chorus]\nThere's a big black hole where my heart used to be\nAnd I tried my best to fill it up with things I don't need\nIt don't work like that, no, it's not easy\nTo fill this gap that you left in me (Oh, that you left in me)\nThere's a big black hole where my heart used to be (Oh, yeah, you left in me)\nAnd I wish that you would realise I'm all that you need (No)\nIt don't work like that, no, it's not easy (Oh no, it's not easy)\nTo fill this gap that you left in me (That you left in me)""}"
Benson Boone,GHOST TOWN,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0,-10.064,0.0763,0.389,0.0,0.102,0.116,174.185,193733,3,Sad,"{'title': 'Spotify – New Music Friday 1', 'lyrics': ""Adele - Easy On Me\nColdplay - Let Somebody Go\nYoung Thug - Bubbly (with Drake & Travis Scott)\nSummer Walker - Ex For A Reason (with City Girls)\nPinkPantheress - Reason\nAnitta - Faking Love (feat. Saweetie)\nLil Durk - Pissed Me Off\nKygo - Undeniable (feat. X Ambassadors)\nStromae - Santé\nMac Miller - Here We Go\nRemi Wolf - Street You Live On\nFINNEAS - Love is Pain\nChelsea Cutler - Forever\nJoy Crookes - Trouble\nYoung Thug - Livin It Up (with Post Malone & A$AP Rocky)\nILLENIUM - Wouldn’t Change A Thing\nPink Sweat$ - I Feel Good\nChase Atlantic - ESCORT\nAnson Seabra - Keep Your Head Up Princess\nAURORA - Giving In To The Love\nMontell Fish - Call U Tomorrow\nKIRBY - Lately\nRyan Hurd - Pass It On\nMiranda Lambert - If I Was a Cowboy\nSam Fischer - Hopeless Romantic\nDemi Lovato - Unforgettable (Tommy's Song)\nLalo Ebratt - Sukutubla\nMaxo Kream - GREENER KNOTS\nHotboii - All The Opps\nJESSIA - But I Don'T\nLennon Stella - Fancy\nZack Fox - shut the fuck up talking to me\nKodak Black - Killing The Rats\nJ Balvin - Ten Cuidado - Pokémon 25 Version\nWalker Hayes - U Gurl\nBand of Horses - Crutch\nThe Lumineers - BIG SHOT\nKito - Skin & Bones (feat. Winona Oak)\nCamilo - Índigo\nKA$HDAMI - Intermission\nSlimelife Shawty - Suit Me Up (feat. Lil Durk)\nKYLE - Sunday\nRicky Montgomery - Sorry for Me\nJordana - Summer's Over\nLouis The Child - Waiting To Feel Like This\nCheat Codes - Dummy (with Oli Sykes of Bring Me The Horizon)\nDixie - The Real Thing\nWizTheMc - Do It Over\nJim-E Stack - 2nd Round\nTiësto - Oohla Oohla\nTone Stith - Do I Ever (feat. Chris Brown)\nSpotemGottem - Killers On They Shit\nHotboy Wes - Rolling Loud (feat. Big Scarr, BigWalkDog) 🕒\naldn - n2o\nOrion Sun - Concrete\nAllison Ponthier - Late Bloomer\nZac Brown Band - The Comeback\nKacy Hill - Simple, Sweet, and Smiling\nFred again.. - Hannah (The Sun)\n88rising - The Weekend\nDanny Ocean - Dorito & Coca-Cola\nSam Feldt - Call On Me (feat. Georgia Ku)\nBilly Porter - Children\nAlice Longyu Gao - Never Coming Back\nLauren Jauregui - Scattered\nDreamDoll - You know My body (feat. Capella Grey)\nRotimi - Sing (feat. Busta Rhymes) 🕒\nBLACKSTARKIDS - PISS DRUNK KIDS 🕒\nAnna Lunoe - Back Seat (feat. Genesis Owusu)\nDon Diablo - Cheque\nMatoma - Never Surrender\nLila Drew - 2023\nK.Flay - Nothing Can Kill Us\nmazie - spinnin\nBarrie - Frankie\nBathe - Bicoastal\nTom Morello - The War Inside (feat. Chris Stapleton)\nLightSkinKeisha - Freaky Dancer (feat. Trina)\nBlacc Zacc - Dirty Money 🕒\nKey Glock - Da Truth\nJoseph Black - Priceless\nRence - Track Shoes\nZeph - scared of everything\nAvenue Beat - space for you\nEric Nam - I Don't Know You Anymore\nKenTheMan - Love Yourself\nDom Kennedy - Still Grind'n 🕒\nSAIAH - ARTIST 🐚\nRalph Castelli - Pretend\nGrady - SO GOOD\nSnail Mail - Ben Franklin\nBenson Boone - GHOST TOWN\nBlessing Offor - Brighter Days 🐚\nFACESOUL - Love\nNetta - CEO\nYNW BSlime - Citi Trends (feat. NLE Choppa)\nDerrick Milano - Control (feat. Ty Dolla $ign)\nZack Tabudlo - Heart Can’t Lose\nStephen Sanchez - I Want You\nGRACEY - Sad Song""}"
Mimi Webb,24/5,24/5,1A6gT680oQr98VtDkNzys7,0.559,0.763,0,-4.16,0.105,0.403,0.0,0.127,0.349,91.069,158221,4,Sad,"{'title': 'Mimi Webb – 24/5 Lyrics', 'lyrics': ""[Intro]\nOoh, ooh-ooh\n\n[Verse 1]\nHalfway to the bottom\nYou, me and our problems\nStone cold when we let it slip away\nIs it unfair to miss you?\nIs it unkind to hate you?\nTo feel some kind of pleasure in the pain\n\n[Pre-Chorus]\nWish I could skip ahead to somewhere near the end\nAnd maybe then I guess I'll forget you ever left\n\n[Chorus]\nOh my, damn this hurts so good\nAlways knew it would, stop it if I could\nGoing on for 24/5\nI still feel your touch, never hurt so much\nHaunted by your love\nGoing on for 24/5\n\n[Verse 2]\nI let you change me\nBut you were the one to break me\nAnd buried all my feelings underneath\nMaybe, someday I won't miss you\nMaybe, someday I won't hate you\nBut right now it's too heavy to breathe\n[Pre-Chorus]\nWish I could skip ahead to somewhere near the end\nAnd maybe then I guess I'll forget you ever left\n\n[Chorus]\nOh my, damn this hurts so good\nAlways knew it would, stop it if I could\nGoing on for 24/5\nI still feel your touch, never hurt so much\nHaunted by your love\nGoing on for 24/5\n\n[Bridge]\nReplays in my head, of all the things you said\nI know you're lying in somebody else's bed\nThough we could make it work, but then you hurt me first\nTrust me I felt it worst\nOoh-ooh, ooh-ooh, ooh, yeah\n\n[Chorus]\nOh my, damn this hurts so good\nAlways knew it would, stop it if I could\nGoing on for 24/5 (Ooh, ooh)\nI still feel your touch, never hurt so much\nHaunted by your love\nGoing on for 24/5""}"
Ed Sheeran,Visiting Hours,Visiting Hours,44V6EzbUSYgyfsNiP0FrlA,0.471,0.396,8,-6.654,0.0336,0.77,0.0,0.0729,0.263,149.609,215507,4,Sad,"{'title': 'Ed Sheeran – Visiting Hours Lyrics', 'lyrics': '[Verse 1]\nI wish that Heaven had visiting hours\nSo I could just show up and bring the news\nThat she\'s getting older and I wish that you\'d met her\nThe things that she\'ll learn from me, I got them all from you\n\n[Chorus]\nCan I just stay a while and we\'ll put all the world to rights?\nThe little ones will grow and I\'ll still drink your favourite wine\nAnd soon, they\'re going to close, but I\'ll see you another day\nSo much has changed since you\'ve been away\n\n[Verse 2]\nI wish that Heaven had visiting hours\nSo I could just swing by and ask your advice\nWhat would you do in my situation?\nI hadn\'t a clue how I\'d even raise them\nWhat would you do? \'Cause you always do what\'s right\n\n[Chorus]\nCan we just talk a while until my worries disappear?\nI\'d tell you that I\'m scared of turning out a failure\nYou\'d say, ""Remember that the answer\'s in the love that we create""\nSo much has changed since you\'ve been away\n\n[Verse 3]\nI wish that Heaven had visiting hours\nAnd I would ask them if I could take you home\nBut I know what they\'d say, that it\'s for the best\nSo I will live life the way you taught me\nAnd make it on my own\n\n[Chorus]\nAnd I will close the door, but I will open up my heart\nAnd everyone I love will know exactly who you are\n\'Cause this is not goodbye, it is just \'til we meet again\nSo much has changed since you\'ve been away'}"
James Arthur,Back from the Edge,Train Wreck,55Am8neGJkdj2ADaM3aw5H,0.311,0.485,6,-5.726,0.0365,0.701,0.0,0.0726,0.225,77.355,208827,4,Sad,"{'title': 'James Arthur – Train Wreck Lyrics', 'lyrics': ""[Verse 1]\nLaying in the silence\nWaiting for the sirens\nSigns, any signs I'm alive still\nI don't wanna lose it\nBut I'm not getting through this\nHey, should I pray\nShould I pray, yeah, to myself\nTo a God? To a saviour who can\n\n[Chorus]\nUnbreak the broken\nUnsay these spoken words\nFind hope in the hopeless\nPull me out the train wreck\nUnburn the ashes\nUnchain the reactions now\nI'm not ready to die, not yet\nPull me out the train wreck\nPull me out, pull me out\nPull me out, pull me out\nPull me out\n\n[Verse 2]\nUnderneath our bad blood\nWe've still got a sad song\nHome, still a home, still a home here\nIt's not too late to build it back\n'Cause a one in a million chance\nIs still a chance, still a chance\nAnd I would take those odds\n\n[Chorus]\nUnbreak the broken\nUnsay these spoken words\nFind hope in the hopeless\nPull me out the train wreck\nUnburn the ashes\nUnchain the reactions now\nI'm not ready to die, not yet\nPull me out the train wreck\nPull me out, pull me out\nPull me out, pull me out\nPull me out, pull me out\n\n[Bridge]\nYou can say what you like\nDon't say I wouldn't die for it\nI'm down on my knees\nAnd I need you to be my guard\nBe my help, be a saviour\nWho can\n\n[Chorus]\nUnbreak the broken\nUnsay these reckless words (Find hope in the hopeless)\nPull me out the train wreck\nUnburn the ashes\nUnchain the reactions now\nI'm not ready to die, not yet\nPull me out the train wreck\nPull me out, pull me out\nPull me out, pull me out\nPull me out, pull me out""}"
Alexander 23,IDK You Yet,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,0.629,0.306,1,-11.735,0.0424,0.884,0.0776,0.124,0.191,76.994,184638,1,Sad,"{'title': 'Alexander 23 – IDK You Yet Lyrics', 'lyrics': ""[Refrain]\nHow can you miss someone you've never met?\n'Cause I need you now but I don't\u2005know\u2005you yet\nBut can\u2005you find me soon because I'm\u2005in my head?\nYeah, I need you now but I don't know you yet\n\n[Chorus]\n'Cause lately it's been hard\nThey're selling me for parts\nAnd I don't wanna be modern art\nBut I only got half a heart\nTo give to you\n\n[Verse]\nHow can you miss someone you've never seen?\nOh, tell me are your eyes brown, blue, or green?\nAnd do you like it with sugar and cream?\nOr do you take it straight, oh, just like me?\n\n[Chorus]\nYeah, lately it's been hard\nThey're selling me for parts\nAnd I don't wanna be modern art\nBut I only got half a heart\nTo give to you\n[Bridge]\nAnd I hope it's enough\nOoh, ooh-ooh, ooh-ooh, ooh\nOoh, ooh-ooh, ooh-ooh, ooh\nOoh, ooh-ooh, ooh-ooh, ooh\nOoh, ooh-ooh, ooh-ooh, ooh\n\n[Refrain]\nHow can you miss someone you've never met?\n'Cause I need you now but I don't know you yet\nBut can you find me soon because I'm in my head?\nYeah, I need you now but I don't know you yet\n\n[Outro]\nI need you now but I don't know you yet\nI need you now but I don't know you yet\nI need you now but I don't know you yet\nI need you now but I don't know you yet""}"
Emily Burns,Is It Just Me?,Is It Just Me? (feat. JP Cooper),754zNJgoWQaGETFzSYVlmC,0.478,0.339,4,-7.355,0.0544,0.688,0.0,0.104,0.288,145.441,203300,4,Sad,"{'title': 'Emily Burns & JP Cooper – Is It Just Me? Lyrics', 'lyrics': ""[Verse 1: Emily Burns]\nIt's been way too long for me to find it this hard\nSitting alone my fingers\u2005picking\u2005the sofa apart\nAn\u2005attempt to distract from the fact\u2005that I miss you\nI wonder if your friends have had to carry you home\nAnd stay for the night because\nThey don't want to leave you alone\nWay before it was fun, it's becoming an issue\n\n[Pre-Chorus: Emily Burns]\nI know it's cruel\nBut I kind of hope you're tortured too\n\n[Chorus: Emily Burns]\nTell me does your heart stop\nAt the party when my name drops\nLike you're stood at the platform\nWhen the trains cross\nAre you hurting? Yeah, you must be\nOr is it just me?\nTongue-tied, screaming on the inside\nWhen I say that we broke up and they ask why\nAre you crying in the shower like a freak?\nOr is it just me?\n\n[Verse 2: JP Cooper]\nIt's been three months and two days and five hours\nSince I walked away and we left it so sour, I know\nThat you're probably thinking you're better without me\nAnd all my days have turned cold but not as cold as your shoulder\nI've been thinking it over, while I drink myself sober again\nPlease understand\n\n[Pre-Chorus: JP Cooper, with Emily Burns]\nThat I know it's cruel\nBut I kind of hope you're tortured too\n\n[Chorus: JP Cooper & Emily Burns, Emily Burns]\nTell me does your heart stop\nAt the party when my name drops\nLike you're stood at the platform\nWhen the trains cross\nAre you hurting? Yeah, you must be\nOr is it just me?\nTongue-tied, screaming on the inside\nWhen I say that we broke up and they ask why\nAre you crying in the shower like a freak? (Hmm, hmm)\nOr is it just me?\n\n[Bridge: JP Cooper & Emily Burns]\n(Ah, ah, ah)\n'Cause this would be one whole lot easier (Ah, ah, ah)\nGod, I know that's selfish but it's true (Ah, ah, ah)\nIf underneath some calm exterior\nYou're all fucked up too\n\n[Chorus: Emily Burns, Emily Burns & JP Cooper, JP Cooper]\nTell me does your heart stop\nAt the party when my name drops\nLike you're stood at the platform\nWhen the trains cross\nAre you hurting? Yeah, you must be\nOr is it just me?\nTongue-tied, screaming on the inside\nWhen I say that we broke up and they ask why\nAre you crying in the shower like a freak?\nWith only cigarettes for company?\nAre you crying in the shower like a freak?\nOr is it just me?""}"
Harry Styles,Fine Line,Falling,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,Sad,"{'title': ""Hannah Grae – \u200bif 'falling' by Harry Styles was written fr"", 'lyrics': ""[Verse 1]\nI'm in my bed\nAnd you're still here\nAfter slamming the door and then, trying to wipe my tear\nI'll forget what you said\nIf it's not what you meant\nBut when will you say the right things to me instead?\n\n[Chorus]\nWhat if I'm done?  What if I'm done?\nWhat if I'm trapped and I just wanna run?\nYou're falling again, you're falling again, you're falling\nWhat if I'm down?  What if I'm out?\nWhat if you're someone I don't think about?\nYou're falling again, you're falling again, you're falling\n\n[Verse 2]\nBut I still care\nAnd I miss you, too\nAnd I still remember the way that I felt about you\nBut the coffee's out\nAt the Beachwood Cafe\nAnd it kills me, 'cause I think I've run out of reasons to stay\n\n[Chorus 2]\nWhat have I done?  What have I done?\nWas I so stupid for falling in love?\nWell, I'm falling again, I'm falling again, I'm falling\nWhat if I'm down?  What if I'm out?\nWould you still stay and try and figure things out?\nI'm falling again, I'm falling again, I'm falling\n[Bridge]\nAnd I get the feeling that I'll never see you again\n\n[Outro]\nWhat have I done?  What have I done?\nWas I so stupid for falling in love?\nWell, I'm falling again, I'm falling again, I'm falling""}"
Jaymes Young,Happiest Year,Happiest Year,5kcvBnt6DPX3AMEsCx1qDh,0.501,0.167,1,-14.061,0.0484,0.885,0.0,0.111,0.356,112.275,228443,3,Sad,NaN
